system,method,epoch,train_traj,n_total,fc_acc,fc_f1,fc_prec,fc_rec,band_f1,band_acc,uncertain_pct,lambda_star,delta_star
pendulum,adaptive,0,50,48770,0.8867131433258151,0.8702472933937672,0.7804220546733499,0.9834394904458599,0.8874726437555615,0.8992788720266925,4.747,0.10454545454545455,0.05
pendulum,adaptive,1,100,48770,0.9211605495181464,0.9060522393529943,0.8394530719427717,0.9841295116772824,0.9082310274694309,0.9228407779792319,0.48,0.12272727272727273,0.05
pendulum,adaptive,2,150,48770,0.9521632150912446,0.9411556990440638,0.8966693901090979,0.9902866242038216,0.9425618477244587,0.9531745704750525,0.468,0.0590909090909091,0.05
pendulum,adaptive,3,200,48770,0.985708427311872,0.9816921015996428,0.9717123394519266,0.9918789808917198,0.9848136703377968,0.9881279293043999,0.691,0.0590909090909091,0.05
pendulum,adaptive,4,250,48770,0.9768710272708633,0.9698782311471909,0.9759243336199485,0.9639065817409767,0.9717659688674182,0.9783596980231626,0.322,0.45909090909090905,0.05
pendulum,adaptive,5,300,48770,0.9902399015788395,0.987494745691467,0.977632126508531,0.9975583864118895,0.9884525343925087,0.990981737504879,0.187,0.07727272727272727,0.05
pendulum,adaptive,6,350,48770,0.9942382612261637,0.9925600360083667,0.9902266363780443,0.9949044585987261,0.9933174224343675,0.9948259932245149,0.133,0.7136363636363636,0.05
pendulum,adaptive,7,400,48770,0.99643223293008,0.9953851050286441,0.9947519083969466,0.9960191082802548,0.9970699483245431,0.9977376961520268,0.301,0.740909090909091,0.11060606060606061
pendulum,adaptive,8,450,48770,0.9964732417469756,0.9954235845040441,0.9979726845924028,0.9928874734607218,0.9960558575844793,0.9969625448948178,0.092,0.7954545454545454,0.05
pendulum,adaptive,9,500,48770,0.997436948944023,0.9966810928497464,0.9971311693141369,0.9962314225053078,0.9986395283698348,0.9989505956912693,0.351,0.39545454545454545,0.25606060606060604
pendulum,random,0,50,48770,0.8867131433258151,0.8702472933937672,0.7804220546733499,0.9834394904458599,0.8874726437555615,0.8992788720266925,4.747,0.10454545454545455,0.05
pendulum,random,1,100,48770,0.9268402706581915,0.9078988125967992,0.8837185929648241,0.9334394904458598,0.9271920737376153,0.9405035815064033,5.536,0.06818181818181818,0.05404040404040404
pendulum,random,2,150,48770,0.9765429567356981,0.9697049944388538,0.9676038473734278,0.9718152866242038,0.972112189286189,0.9783885123302911,0.474,0.10454545454545455,0.05
pendulum,random,3,200,48770,0.9797621488620053,0.9739667132645794,0.9680176165259792,0.9799893842887474,0.976564361941583,0.9817458025659007,0.591,0.06818181818181818,0.05
pendulum,random,4,250,48770,0.9713553413984006,0.9625217974513749,0.9730946569026309,0.9521762208067941,0.9676061343320304,0.9754353233830846,1.087,0.6681818181818182,0.2964646464646465
pendulum,random,5,300,48770,0.9694689358212015,0.9608147582831126,0.9528159089722845,0.9689490445859873,0.9670417577729187,0.9743451367844245,1.214,0.40454545454545454,0.19545454545454544
pendulum,random,6,350,48770,0.9698585195817101,0.9614416115832546,0.9503733665214685,0.9727707006369427,0.9628792260371207,0.9709823263460748,0.226,0.2863636363636364,0.05
pendulum,random,7,400,48770,0.9710272708632356,0.9631330393717222,0.9471442500128291,0.9796709129511677,0.9673698348739828,0.9744140423335054,0.707,0.8136363636363636,0.0904040404040404
pendulum,random,8,450,48770,0.9825507484109084,0.9776282236651858,0.9684879420803166,0.9869426751592356,0.9797200950620544,0.984194603939001,0.367,0.8227272727272728,0.0904040404040404
pendulum,random,9,500,48770,0.9806028296083658,0.9750566893424036,0.9687729225610395,0.9814225053078556,0.9780684265092909,0.9829924960831203,0.537,0.8681818181818182,0.06616161616161617
cartpole,adaptive,0,300,115242,0.9596327727738151,0.8849198495943004,0.9088414634146341,0.8622252217508677,0.8915680845708533,0.9623995182110968,0.581,0.17727272727272725,0.05404040404040404
cartpole,adaptive,1,400,115242,0.969273355200361,0.9160283620669212,0.9014702450408402,0.9310644041650598,0.9235909145535391,0.9722129958218975,0.725,0.0590909090909091,0.05
cartpole,adaptive,2,500,115242,0.9649693688065115,0.895341300909963,0.9685344102305233,0.8324334747396838,0.924766431732503,0.9757061449162859,1.631,0.22272727272727272,0.21565656565656566
cartpole,adaptive,3,600,115242,0.9824456361396019,0.9502373748554843,0.9701642473253302,0.9311126108754338,0.9803475382705834,0.9931636847739068,3.533,0.09545454545454546,0.09444444444444444
cartpole,adaptive,4,700,115242,0.9835476649138335,0.9527958970273366,0.9852229430542684,0.9224354030080987,0.9807530500631048,0.9935169029926755,2.024,0.2681818181818182,0.25606060606060604
cartpole,adaptive,5,800,115242,0.9805019003488311,0.9433162634645949,0.9894163094671112,0.9013208638642499,0.9813280771382148,0.9937672822327533,2.405,0.20454545454545453,0.2035353535353535
cartpole,adaptive,6,900,115242,0.9894396140296072,0.9700857852174126,0.9896684888911179,0.951263015811801,0.9805559049176205,0.9932395795070927,0.781,0.14090909090909093,0.09848484848484848
cartpole,adaptive,7,1000,115242,0.9911837698061471,0.9752448711076458,0.9859592078037245,0.9647608947165446,0.9918788851012633,0.997141041931385,1.661,0.2590909090909091,0.25606060606060604
cartpole,random,0,300,115242,0.9596327727738151,0.8849198495943004,0.9088414634146341,0.8622252217508677,0.8915680845708533,0.9623995182110968,0.581,0.17727272727272725,0.05404040404040404
cartpole,random,1,400,115242,0.9667742663265129,0.9084606373568576,0.9011145364002846,0.9159274971075974,0.9168047567989083,0.970145860295918,0.769,0.15,0.07424242424242425
cartpole,random,2,500,115242,0.9200118012530154,0.7340603542784606,0.9140681132346602,0.6132857693790976,0.9102678806378611,0.9817038491667471,19.136,0.36818181818181817,0.3651515151515151
cartpole,random,3,600,115242,0.8887818677218375,0.6679791726031655,0.7219329189764264,0.621529116853066,0.8135078092021949,0.9527522003700257,18.86,0.38636363636363635,0.38535353535353534
cartpole,random,4,700,115242,0.9463563631314972,0.8433191403081914,0.8891085934159897,0.8020150404936367,0.937730725813833,0.9799185328033374,11.806,0.0590909090909091,0.05808080808080808
cartpole,random,5,800,115242,0.9526474722757328,0.8509138595197114,0.9819660760451479,0.7507231006556112,0.9596066967844805,0.9886863724751351,6.735,0.0590909090909091,0.05808080808080808
cartpole,random,6,900,115242,0.9675812637753597,0.9033376455368692,0.9749246062772255,0.8415445430003856,0.9867579040740037,0.9960283526214773,8.674,0.38636363636363635,0.38535353535353534
cartpole,random,7,1000,115242,0.966678815015359,0.8997493734335839,0.9813211845102505,0.8306980331662167,0.983731053005279,0.995021068344576,8.153,0.16818181818181818,0.1671717171717172
quad2d,adaptive,0,3000,479789,0.9432167056768704,0.4987857826182942,0.8514540543935682,0.35269936256016654,0.5882183908045978,0.9743307269975191,6.917,0.2681818181818182,0.25202020202020203
quad2d,adaptive,1,4000,479789,0.945373903945276,0.49330111164813917,0.9599699021820918,0.3319370365552231,0.6677994902293968,0.9815346627056858,7.319,0.2409090909090909,0.23585858585858588
quad2d,adaptive,2,5000,479789,0.9522373376630143,0.5817637611330122,0.9743840557559454,0.414674125146351,0.8860983897178312,0.9963809952967021,11.193,0.35,0.34898989898989896
quad2d,adaptive,3,6000,479789,0.9478479081429545,0.5229543201403187,0.978454733537847,0.3568362169897229,0.6137845786624612,0.9798346445302503,6.347,0.36818181818181817,0.35707070707070704
quad2d,adaptive,4,7000,479789,0.9514578283370398,0.5736306385471588,0.9677558836246835,0.4076232600494341,0.743069921390153,0.9860696740617779,7.086,0.39545454545454545,0.3732323232323232
quad2d,adaptive,5,8000,479789,0.9538317885570532,0.6090885026030176,0.9466264399341744,0.448991804344998,0.625518619064693,0.9835217962616949,7.527,0.45909090909090905,0.43787878787878787
quad2d,adaptive,6,9000,479789,0.9504594728099227,0.5585498579202496,0.9759215991692627,0.3912319500455314,0.9309903409752124,0.9971763854400529,12.455,0.35909090909090907,0.35707070707070704
quad2d,adaptive,7,10000,479789,0.9618415595188718,0.694703842049093,0.9673524357962198,0.5419539482242748,0.9320230062044291,0.9965285808116784,9.88,0.44090909090909086,0.43787878787878787
quad2d,adaptive,8,11000,479789,0.951922615983276,0.5832294433302618,0.9543519394512772,0.4199297515285547,0.8681474997264471,0.9971427622967923,12.1,0.43181818181818177,0.4257575757575757
quad2d,adaptive,9,12000,479789,0.9485815639791658,0.5335249404379231,0.976264618365511,0.3670612722778717,0.8653305203938116,0.9964226670278248,10.742,0.38636363636363635,0.37727272727272726
quad2d,random,0,3000,479789,0.9432167056768704,0.4987857826182942,0.8514540543935682,0.35269936256016654,0.5882183908045978,0.9743307269975191,6.917,0.2681818181818182,0.25202020202020203
quad2d,random,1,4000,479789,0.9423454893713695,0.46997509101360413,0.8916030534351145,0.3190841680759724,0.7180004031445273,0.9869075833541948,10.914,0.2590909090909091,0.24797979797979797
quad2d,random,2,5000,479789,0.9467286661428252,0.5306916876296799,0.9017222014226881,0.3759854299466632,0.7654253576498853,0.9900371981707035,10.126,0.3136363636363636,0.3045454545454545
quad2d,random,3,6000,479789,0.9373224479927635,0.3987283560603031,0.8611279039640729,0.25942500325224405,0.6785811485076658,0.9916903354121176,11.134,0.4227272727272727,0.41767676767676765
quad2d,random,4,7000,479789,0.9376684334155222,0.3841940532081377,0.9210188567479515,0.24272147781969558,0.7644508670520233,0.9938629662486675,11.428,0.35909090909090907,0.353030303030303
quad2d,random,5,8000,479789,0.9354507919106108,0.3509786663313634,0.9020790692664009,0.21787433328997008,0.5758793969849246,0.9920326435056369,11.684,0.38636363636363635,0.3732323232323232
quad2d,random,6,9000,479789,0.9462096880086871,0.5188665175242356,0.9152252548503782,0.36206582541953947,0.8872606486908947,0.9972051141083612,13.942,0.3409090909090909,0.3368686868686869
quad2d,random,7,10000,479789,0.9422225186488227,0.45792839124738455,0.9216782115869018,0.30464420450110574,0.8630981233986567,0.9953490451074402,11.404,0.3045454545454545,0.2964646464646465
quad2d,random,8,11000,479789,0.9426852220455242,0.47298721707966807,0.8978463329452853,0.3210615324573956,0.8551313688488895,0.9953151808326116,11.199,0.36818181818181817,0.3611111111111111
quad2d,random,9,12000,479789,0.9549551990562518,0.6311693630964571,0.917216407916274,0.48112397554312475,0.9094645373414749,0.996367208758278,11.53,0.37727272727272726,0.3651515151515151
quad3d,adaptive,0,10000,990000,0.8999494949494949,0.7386226296595365,0.8668012733961773,0.643469305182624,0.9342710351217047,0.9740181912612697,39.32,0.44999999999999996,0.4338383838383838
quad3d,adaptive,1,20000,990000,0.9164505050505051,0.7824048741476556,0.9143772443307591,0.6837229190421893,0.9410021315735685,0.9776104827930105,27.076,0.39545454545454545,0.38535353535353534
quad3d,adaptive,2,30000,990000,0.9225111111111111,0.7983661968869428,0.931936722997435,0.6982841063743701,0.9539043815796335,0.9831713115333772,25.728,0.44090909090909086,0.4257575757575757
quad3d,adaptive,3,40000,990000,0.9286414141414141,0.8165965279382329,0.9378566785733453,0.7231029536175378,0.9567886573824176,0.9843304899070765,22.593,0.4227272727272727,0.4015151515151515
quad3d,adaptive,4,50000,990000,0.930150505050505,0.820331479080547,0.9431251306867402,0.7258294405414353,0.9578485940236244,0.9853672514000947,21.741,0.44999999999999996,0.4297979797979798
quad3d,adaptive,5,60000,990000,0.9352838383838383,0.8371514918904905,0.9360431078093117,0.7571587523448707,0.9526875818097369,0.9833729862344253,18.315,0.45909090909090905,0.4338383838383838
