level,arm,train_size,n_points,K,M,KL,brier_raw,brier_debiased,brier_debiased_se,sAUROC,F1,precision,recall,skill_score,MAE
det,fm,500,48770,100.0,inf,0.09818,0.026783,0.026423,0.000494,0.998608,0.957778,0.998216,0.920488,0.888543,0.062394
det,fm,1000,48770,100.0,inf,0.579059,0.166714,0.166282,0.001435,0.965785,0.623099,0.951079,0.463323,0.298603,0.209497
det,fm,2000,48770,100.0,inf,0.131328,0.035686,0.035004,0.000359,0.999499,0.970261,0.99826,0.94379,0.852348,0.103192
det,fm,4000,48770,100.0,inf,0.054991,0.013252,0.012949,0.000261,0.999829,0.984637,0.998418,0.971231,0.945378,0.043254
det,fm,6000,48770,100.0,inf,0.044612,0.010552,0.010314,0.000263,0.999747,0.985197,0.997443,0.973248,0.956493,0.034109
det,fm_outcome,500,48770,,inf,0.066033,0.015486,0.015486,0.000481,0.997055,0.975103,0.959133,0.991614,0.93468,0.022266
det,fm_outcome,1000,48770,,inf,0.035675,0.008512,0.008512,0.000342,0.999197,0.985785,0.986965,0.984607,0.964095,0.013848
det,fm_outcome,2000,48770,,inf,0.011971,0.00303,0.00303,0.000163,0.999887,0.9946,0.996854,0.992357,0.987218,0.007186
det,fm_outcome,4000,48770,,inf,0.008183,0.002044,0.002044,0.00013,0.999971,0.996471,0.996339,0.996603,0.991378,0.005069
det,fm_outcome,6000,48770,,inf,0.01001,0.00252,0.00252,0.000136,0.999959,0.995732,0.994651,0.996815,0.989369,0.00672
det,mlp,500,48770,,inf,0.077639,0.015335,0.015335,0.000517,0.998111,0.977578,0.961738,0.993949,0.935314,0.018251
det,mlp,1000,48770,,inf,0.038948,0.007663,0.007663,0.000366,0.998669,0.98855,0.984982,0.992144,0.967677,0.009152
det,mlp,2000,48770,,inf,0.010854,0.002609,0.002609,0.000196,0.999959,0.995643,0.996596,0.994692,0.988995,0.003825
det,mlp,4000,48770,,inf,0.010146,0.002525,0.002525,0.000191,0.999966,0.995632,0.993239,0.998036,0.989348,0.003678
det,mlp,6000,48770,,inf,0.037127,0.009409,0.009409,0.000378,0.999499,0.984659,0.969881,0.999894,0.960312,0.013014
tau_0.10,fm,500,48770,100.0,100.0,0.064768,0.015804,0.015509,0.000341,0.996402,0.968108,0.967966,0.968249,0.931171,0.042952
tau_0.10,fm,1000,48770,100.0,100.0,0.029643,0.006915,0.006757,0.000239,0.998894,0.985729,0.990032,0.981464,0.970011,0.019737
tau_0.10,fm,2000,48770,100.0,100.0,0.01068,0.002516,0.002419,0.000121,0.999857,0.992394,0.996873,0.987955,0.989263,0.008982
tau_0.10,fm,4000,48770,100.0,100.0,0.007242,0.001456,0.001369,7.4e-05,0.999912,0.995195,0.997299,0.9931,0.993926,0.006635
tau_0.10,fm,6000,48770,100.0,100.0,0.005857,0.001234,0.00116,6.8e-05,0.999911,0.995371,0.997475,0.993276,0.994853,0.005142
tau_0.10,fm_outcome,500,48770,,100.0,0.080543,0.015423,0.0154,0.000493,0.994076,0.971506,0.959457,0.983862,0.931656,0.021034
tau_0.10,fm_outcome,1000,48770,,100.0,0.028723,0.005634,0.005611,0.000267,0.995827,0.987013,0.987475,0.986551,0.9751,0.010369
tau_0.10,fm_outcome,2000,48770,,100.0,0.018221,0.004193,0.00417,0.00021,0.999286,0.989019,0.990557,0.987487,0.981496,0.009452
tau_0.10,fm_outcome,4000,48770,,100.0,0.004075,0.000857,0.000833,5.7e-05,0.999929,0.996197,0.996897,0.995498,0.996301,0.003598
