system,arm,train_traj,F1,FPR,FNR,abstain_pct
pendulum,clf_adaptive,50,0.8875,0.1596,0.0133,4.747
pendulum,clf_adaptive,100,0.9082,0.1166,0.0149,0.480
pendulum,clf_adaptive,150,0.9426,0.0707,0.0091,0.468
pendulum,clf_adaptive,200,0.9848,0.0171,0.0036,0.691
pendulum,clf_adaptive,250,0.9718,0.0142,0.0335,0.322
pendulum,clf_adaptive,300,0.9885,0.0136,0.0017,0.187
pendulum,clf_adaptive,350,0.9933,0.0057,0.0044,0.133
pendulum,clf_adaptive,400,0.9971,0.0020,0.0026,0.301
pendulum,clf_adaptive,450,0.9961,0.0011,0.0061,0.092
pendulum,clf_adaptive,500,0.9986,0.0011,0.0010,0.351
pendulum,clf_nonadapt,50,0.8875,0.1596,0.0133,4.747
pendulum,clf_nonadapt,100,0.9272,0.0618,0.0560,5.536
pendulum,clf_nonadapt,150,0.9721,0.0185,0.0266,0.474
pendulum,clf_nonadapt,200,0.9766,0.0184,0.0181,0.591
pendulum,clf_nonadapt,250,0.9676,0.0128,0.0435,1.087
pendulum,clf_nonadapt,300,0.9670,0.0257,0.0256,1.214
pendulum,clf_nonadapt,350,0.9629,0.0307,0.0263,0.226
pendulum,clf_nonadapt,400,0.9674,0.0310,0.0170,0.707
pendulum,clf_nonadapt,450,0.9797,0.0184,0.0117,0.367
pendulum,clf_nonadapt,500,0.9781,0.0177,0.0158,0.537
pendulum,partx,50,0.9308,0.0257,0.0930,4.324
pendulum,partx,100,0.8995,0.0064,0.1739,2.405
pendulum,partx,150,0.9413,0.0663,0.0186,2.372
pendulum,partx,200,0.9613,0.0452,0.0089,1.542
pendulum,partx,250,0.9862,0.0144,0.0051,1.739
pendulum,partx,300,0.9949,0.0054,0.0017,1.282
pendulum,partx,350,0.9962,0.0041,0.0011,1.150
pendulum,partx,400,0.9966,0.0014,0.0045,1.294
pendulum,partx,450,0.9941,0.0053,0.0033,1.774
pendulum,partx,500,0.9977,0.0020,0.0015,1.169
pendulum,fm_ranked,100,0.9497,0.0028,0.0893,30.835
pendulum,fm_ranked,150,0.9881,0.0019,0.0206,27.714
pendulum,fm_ranked,200,0.9780,0.0036,0.0375,10.250
pendulum,fm_ranked,250,0.9742,0.0021,0.0471,2.985
pendulum,fm_ranked,300,0.9813,0.0000,0.0367,4.652
pendulum,fm_ranked,350,0.9910,0.0008,0.0167,3.102
pendulum,fm_ranked,400,0.9958,0.0031,0.0035,4.261
pendulum,fm_ranked,450,0.9820,0.0000,0.0353,2.635
pendulum,fm_ranked,500,0.9727,0.0000,0.0532,11.843
pendulum,fm_ranked,550,0.9745,0.0007,0.0489,12.352
pendulum,fm_ranked,600,0.9667,0.0000,0.0644,9.305
pendulum,fm_ranked,650,0.9816,0.0000,0.0362,9.678
pendulum,fm_ranked,700,0.9858,0.0090,0.0162,10.086
pendulum,fm_ranked,750,0.9878,0.0000,0.0240,2.590
pendulum,fm_ranked,800,0.9941,0.0006,0.0109,10.925
pendulum,fm_ranked,850,0.9935,0.0006,0.0122,11.124
pendulum,fm_ranked,900,0.9974,0.0014,0.0034,17.164
pendulum,fm_ranked,950,0.9966,0.0040,0.0015,9.777
pendulum,fm_ranked,1000,0.9976,0.0028,0.0011,9.375
pendulum,fm_ranked,1050,0.9975,0.0022,0.0022,13.166
pendulum,fm_direct,100,0.9492,0.0025,0.0911,30.685
pendulum,fm_direct,150,0.9717,0.0043,0.0487,20.554
pendulum,fm_direct,200,0.9742,0.0015,0.0474,11.741
pendulum,fm_direct,250,0.9945,0.0010,0.0093,9.539
pendulum,fm_direct,300,0.9793,0.0004,0.0399,1.770
pendulum,fm_direct,350,0.9867,0.0026,0.0223,3.922
pendulum,fm_direct,400,0.9726,0.0000,0.0534,2.036
pendulum,fm_direct,450,0.9857,0.0005,0.0274,3.065
pendulum,fm_direct,500,0.9741,0.0000,0.0505,5.946
pendulum,fm_direct,550,0.9751,0.0000,0.0486,8.965
pendulum,fm_direct,600,0.9767,0.0000,0.0456,4.993
pendulum,fm_direct,646,0.9817,0.0031,0.0316,6.750
pendulum,fm_direct,696,0.9848,0.0000,0.0299,4.525
pendulum,fm_direct,736,0.9911,0.0003,0.0173,6.773
pendulum,fm_direct,786,0.9937,0.0093,0.0006,12.461
pendulum,fm_direct,836,0.9961,0.0003,0.0074,7.316
pendulum,fm_direct,886,0.9901,0.0002,0.0193,4.111
pendulum,fm_direct,927,0.9968,0.0019,0.0038,8.089
pendulum,fm_direct,957,0.9977,0.0007,0.0037,6.426
pendulum,fm_direct,971,0.9962,0.0003,0.0072,3.053
pendulum,fm_nonadapt,50,0.9990,0.0005,0.0000,73.758
pendulum,fm_nonadapt,100,0.9341,0.0034,0.1145,51.624
pendulum,fm_nonadapt,150,0.9833,0.0087,0.0188,18.716
pendulum,fm_nonadapt,200,0.9830,0.0050,0.0254,11.575
pendulum,fm_nonadapt,250,0.9932,0.0035,0.0080,9.883
pendulum,fm_nonadapt,300,0.9824,0.0114,0.0165,6.344
pendulum,fm_nonadapt,350,0.9801,0.0078,0.0270,5.540
pendulum,fm_nonadapt,400,0.9826,0.0097,0.0190,7.699
pendulum,fm_nonadapt,450,0.9896,0.0100,0.0059,7.109
pendulum,fm_nonadapt,500,0.9932,0.0053,0.0048,8.007
pendulum,fm_nonadapt,550,0.9882,0.0123,0.0041,3.533
pendulum,fm_nonadapt,600,0.9869,0.0102,0.0099,4.661
pendulum,fm_nonadapt,650,0.9922,0.0002,0.0152,57.644
pendulum,fm_nonadapt,700,0.9877,0.0020,0.0208,23.830
pendulum,fm_nonadapt,750,0.9629,0.0000,0.0715,33.656
pendulum,fm_nonadapt,800,0.9884,0.0045,0.0158,2.231
pendulum,fm_nonadapt,850,0.9921,0.0009,0.0133,48.163
pendulum,fm_nonadapt,900,0.9880,0.0003,0.0231,19.428
pendulum,fm_nonadapt,950,0.9947,0.0020,0.0067,32.057
pendulum,fm_nonadapt,1000,0.9941,0.0005,0.0109,15.542
pendulum,fm_disp_greedy_d05,100,0.8622,0.0000,0.2423,39.768
pendulum,fm_disp_greedy_d05,200,0.9876,0.0000,0.0245,32.584
pendulum,fm_disp_greedy_d05,300,0.9841,0.0046,0.0216,18.462
pendulum,fm_disp_greedy_d05,400,0.9923,0.0000,0.0152,13.535
pendulum,fm_disp_greedy_d05,500,0.9917,0.0000,0.0165,10.652
pendulum,fm_disp_greedy_d05,600,0.9841,0.0001,0.0311,10.791
