system,arm,epoch,train_traj,region,n_points,mean_of_means,median_of_means,p90_of_means,mean_of_medians,median_of_medians,p90_of_medians,mean_of_p90s,median_of_p90s,p90_of_p90s
cartpole,fm_direct,19,1250,full,115242,1.2542088031768799,0.6163427829742432,2.5768126249313354,1.1788291931152344,0.5341782569885254,2.139454913139347,2.09906540994348,0.9434951394796374,5.9852300453186045
cartpole,fm_direct,19,1250,certain_success,20593,0.14963096380233765,0.025911450386047363,0.07385354936122891,0.10365099459886551,0.024115975946187973,0.04943881779909132,0.31247779782330987,0.0360996063798666,0.08227724179625519
cartpole,fm_direct,19,1250,certain_failure,91910,1.4305624961853027,0.7376410961151123,2.753088545799257,1.35222589969635,0.6477797031402588,2.3134598970413207,2.368725312459931,1.1491120815277105,6.041839776039128
cartpole,fm_disp_gdiv_d05,14,1700,full,115242,1.2188963890075684,0.7579099535942078,2.5380256175994873,1.0401620864868164,0.6219371557235718,1.779351830482483,2.3731398582458496,1.3773804903030396,5.863135814666748
cartpole,fm_disp_gdiv_d05,14,1700,certain_success,15141,0.2075463831424713,0.064875029027462,0.18402010202407837,0.17984600365161896,0.0547262504696846,0.10837392508983612,0.25223201513290405,0.08691418915987015,0.20634813606739044
cartpole,fm_disp_gdiv_d05,14,1700,certain_failure,87814,1.2482529878616333,0.8076516389846802,2.077277421951294,1.0516188144683838,0.6868284940719604,1.6161255836486816,2.5001609325408936,1.4644540548324585,3.6516098976135254
cartpole,fm_disp_gdiv_d10,14,1700,full,115242,1.3370636701583862,0.9095893502235413,2.7337992191314697,1.1653544902801514,0.766545295715332,2.1234142780303955,2.4150044918060303,1.5671799182891846,4.752901077270508
cartpole,fm_disp_gdiv_d10,14,1700,certain_success,11920,0.14587515592575073,0.08191116154193878,0.23248794674873352,0.08298039436340332,0.0667138323187828,0.13018277287483215,0.32484787702560425,0.10540894418954849,0.23139864206314087
cartpole,fm_disp_gdiv_d10,14,1700,certain_failure,83241,1.395054578781128,0.9417531490325928,2.3924341201782227,1.1936293840408325,0.8067442178726196,1.8515045642852783,2.6464552879333496,1.6293370723724365,3.825406551361084
cartpole,fm_disp_greedy_d05,14,1700,full,115242,1.2660269737243652,0.7618399858474731,2.817420244216919,1.0597001314163208,0.6316238045692444,1.8473589420318604,2.4230823516845703,1.3761928081512451,6.1058735847473145
