system,epoch,score,spearman_u,top_succ_frac,top_bdry_frac,base_succ_frac,base_bdry_frac,n_cand
pendulum,0,dispersion,0.3562639465643758,0.0,0.01,0.3772,0.0868,5000
pendulum,0,mode_sep,0.027938115634794508,0.2,0.1,0.3772,0.0868,5000
pendulum,0,mode_link,-0.05694243717322159,0.26,0.08,0.3772,0.0868,5000
pendulum,0,idem,0.45736978184985566,0.85,0.29,0.3772,0.0868,5000
pendulum,0,label_entropy,0.999995138466369,1.0,0.01,0.3772,0.0868,5000
pendulum,0,beta_var,0.9999919853220767,1.0,0.01,0.3772,0.0868,5000
pendulum,0,label_entropy_K,0.9166177846130262,1.0,0.02,0.3772,0.0868,5000
pendulum,0,beta_var_K,0.9317152003033544,1.0,0.02,0.3772,0.0868,5000
pendulum,0,gated,0.017328757054840615,0.2,0.11,0.3772,0.0868,5000
pendulum,0,gated_link,-0.07282348198981936,0.21,0.05,0.3772,0.0868,5000
pendulum,0,_corr_modesep_vs_dispersion,0.30965699938571173,nan,nan,nan,nan,5000
pendulum,9,dispersion,0.42750850290625547,0.2,0.46,0.3772,0.0868,5000
pendulum,9,mode_sep,0.03123374279843473,0.25,0.52,0.3772,0.0868,5000
pendulum,9,mode_link,-0.00017805071668427764,0.3,0.28,0.3772,0.0868,5000
pendulum,9,idem,0.5397178176544403,0.24,0.41,0.3772,0.0868,5000
pendulum,9,label_entropy,0.9873994006435579,0.94,0.34,0.3772,0.0868,5000
pendulum,9,beta_var,0.9999605698898157,0.94,0.35,0.3772,0.0868,5000
pendulum,9,label_entropy_K,0.7322091476721432,0.93,0.27,0.3772,0.0868,5000
pendulum,9,beta_var_K,0.8879615955019092,0.93,0.27,0.3772,0.0868,5000
pendulum,9,gated,0.026482233229416376,0.22,0.48,0.3772,0.0868,5000
pendulum,9,gated_link,-0.008690284426916883,0.29,0.25,0.3772,0.0868,5000
pendulum,9,_corr_modesep_vs_dispersion,0.051312778073437156,nan,nan,nan,nan,5000
pendulum,18,dispersion,0.42735702750599297,0.4,0.71,0.3772,0.0868,5000
pendulum,18,mode_sep,0.1046848636152196,0.42,0.68,0.3772,0.0868,5000
pendulum,18,mode_link,0.02939964806841937,0.39,0.28,0.3772,0.0868,5000
pendulum,18,idem,0.5707701996338238,0.49,0.63,0.3772,0.0868,5000
pendulum,18,label_entropy,0.847578778589907,0.83,0.71,0.3772,0.0868,5000
pendulum,18,beta_var,0.9999395330782035,0.83,0.71,0.3772,0.0868,5000
pendulum,18,label_entropy_K,0.3564097720267694,0.85,0.6,0.3772,0.0868,5000
pendulum,18,beta_var_K,0.7588863294839419,0.85,0.6,0.3772,0.0868,5000
pendulum,18,gated,0.10243984521534095,0.41,0.67,0.3772,0.0868,5000
pendulum,18,gated_link,0.024758022402528793,0.38,0.27,0.3772,0.0868,5000
pendulum,18,_corr_modesep_vs_dispersion,0.015157943262317728,nan,nan,nan,nan,5000
cartpole,0,dispersion,-0.1964420338148066,0.0,0.01,0.1834,0.2252,5000
cartpole,0,mode_sep,0.1259426825871639,0.51,0.77,0.1834,0.2252,5000
cartpole,0,mode_link,0.08528522706479587,0.26,0.31,0.1834,0.2252,5000
cartpole,0,idem,-0.37872027002871805,0.0,0.0,0.1834,0.2252,5000
cartpole,0,label_entropy,0.9751674323422952,0.7,0.79,0.1834,0.2252,5000
cartpole,0,beta_var,0.9999895748883092,0.7,0.79,0.1834,0.2252,5000
cartpole,0,label_entropy_K,0.7600461276374527,0.74,0.75,0.1834,0.2252,5000
cartpole,0,beta_var_K,0.892575940532553,0.74,0.75,0.1834,0.2252,5000
cartpole,0,gated,0.2040236948561668,0.53,0.78,0.1834,0.2252,5000
cartpole,0,gated_link,0.13416604529953732,0.45,0.3,0.1834,0.2252,5000
cartpole,0,_corr_modesep_vs_dispersion,0.18428790671720796,nan,nan,nan,nan,5000
cartpole,7,dispersion,-0.07648218975930642,0.0,0.0,0.1834,0.2252,5000
cartpole,7,mode_sep,0.060578122884822797,0.13,0.17,0.1834,0.2252,5000
cartpole,7,mode_link,0.040941942975923955,0.1,0.14,0.1834,0.2252,5000
cartpole,7,idem,-0.24213930293505492,0.0,0.0,0.1834,0.2252,5000
