level,arm,train_size,binary,mean_p_invalid_before,f1_old,f1_new,auc_old,auc_new,n_invalid_old,n_invalid_new
tau_0.10,fm,1000,True,0.02686,0.9969794050343248,0.9905223065339985,0.9989466246233453,0.9989466246233453,1414,0
tau_0.10,fm,2000,True,0.01406,0.9949766458094649,0.9943060706047245,0.99991554898296,0.99991554898296,428,0
tau_0.10,fm,4000,True,0.00784,0.9987590852685694,0.9983167468918879,0.999962504579327,0.999962504579327,34,0
tau_0.10,fm,500,True,0.07938,0.9945785465341422,0.9671445466870511,0.9965444277916302,0.9965444277916302,5778,0
tau_0.10,fm,6000,True,0.00683,1.0,1.0,0.999970187567726,0.999970187567726,493,0
tau_0.10,fm_outcome,1000,True,0.0,0.9879638621582649,0.9879638621582649,0.9958730424369652,0.9958730424369652,0,0
tau_0.10,fm_outcome,2000,True,0.0,0.9890866647213306,0.9890866647213306,0.9993162832735437,0.9993162832735437,0,0
tau_0.10,fm_outcome,4000,True,0.0,0.9994361181184152,0.9994361181184152,0.9999755292849668,0.9999755292849668,0,0
tau_0.10,fm_outcome,500,True,0.0,0.9797929436607326,0.9797929436607326,0.9941228702353636,0.9941228702353636,0,0
tau_0.10,fm_outcome,6000,True,0.0,0.9999402414246444,0.9999402414246444,0.9999834283054838,0.9999834283054838,0,0
tau_0.10,mlp,1000,True,0.0,0.9870442727459678,0.9870442727459678,0.9990851362930753,0.9990851362930753,0,0
tau_0.10,mlp,2000,True,0.0,0.9907348056640055,0.9907348056640055,0.9996686972060895,0.9996686972060895,0,0
tau_0.10,mlp,4000,True,0.0,0.9945083834784132,0.9945083834784132,0.999917085211354,0.999917085211354,0,0
tau_0.10,mlp,500,True,0.0,0.9599637064761256,0.9599637064761256,0.995217933348279,0.995217933348279,0,0
tau_0.10,mlp,6000,True,0.0,0.9986335551330798,0.9986335551330798,0.9999238717587852,0.9999238717587852,0,0
tau_0.15,fm,1000,True,0.25755,0.9662016795058643,0.9631602615102562,0.9949274193738429,0.9949274193738429,778,0
tau_0.15,fm,2000,True,0.25212,0.9802541916262559,0.9802541916262559,0.9984942080759964,0.9984942080759964,214,0
tau_0.15,fm,4000,True,0.23196,0.9903420773879993,0.9903420773879993,0.9998724082949053,0.9998724082949053,29,0
tau_0.15,fm,500,True,0.36139,0.9159587378640776,0.9110180679717853,0.9908985772336245,0.9908985772336245,2652,0
tau_0.15,fm,6000,True,0.24386,0.9914396400899774,0.9914396400899774,0.9999445142303363,0.9999445142303363,2,0
tau_0.15,fm_outcome,1000,True,0.0,0.9790982782876666,0.9790982782876666,0.9954745339486376,0.9954745339486376,0,0
tau_0.15,fm_outcome,2000,True,0.0,0.989792884748786,0.989792884748786,0.9982734357105735,0.9982734357105735,0,0
tau_0.15,fm_outcome,4000,True,0.0,0.9983581753211215,0.9983581753211215,0.9997923601880817,0.9997923601880817,0,0
tau_0.15,fm_outcome,500,True,0.0,0.977984068243116,0.977984068243116,0.9945871182251559,0.9945871182251559,0,0
tau_0.15,fm_outcome,6000,True,0.0,0.9999037443449803,0.9999037443449803,0.9999579429997595,0.9999579429997595,0,0
tau_0.15,mlp,1000,True,0.0,0.9868121569152497,0.9868121569152497,0.9974348446720419,0.9974348446720419,0,0
tau_0.15,mlp,2000,True,0.0,0.9931084512150888,0.9931084512150888,0.9989884075447507,0.9989884075447507,0,0
tau_0.15,mlp,4000,True,0.0,0.9970688008431314,0.9970688008431314,0.999800290095758,0.999800290095758,0,0
tau_0.15,mlp,500,True,0.0,0.9802159395868439,0.9802159395868439,0.9981288898892811,0.9981288898892811,0,0
tau_0.15,mlp,6000,True,0.0,0.9994008388256441,0.9994008388256441,0.999938136154462,0.999938136154462,0,0
tau_0.30,fm,1000,True,0.70094,0.9992243251628917,0.9968020931753762,0.9994066801401597,0.9994066801401597,35868,0
tau_0.30,fm,2000,True,0.70186,1.0,0.9779209449030266,0.9998333632879592,0.9998333632879592,41006,0
