level,predictor,arm,arm_label,matched_epoch,train_trajectories,brier_debiased,brier_debiased_se,brier_raw,skill_score,REL_debiased,RES,UNC_debiased,VAR_debiased,decomp_gap,sAUROC,SHARP,SHARP_star,AURC,risk@0.2,risk@0.5,risk@1,KL,log_score,log_score_oracle,log_score_climatology,MAE,bias,acc@0.5,prec@0.5,rec@0.5,f1@0.5,f1@0.25,f1@0.75,roa_frac_true@0.5,roa_frac_pred@0.5,mean_p_invalid,n_points,K,M
low,clf,dir00,non-adaptive (d2=0),9,10000,0.012492823952303996,0.00033449093659011325,0.01259698837142737,0.9453066399133632,0.0068913028850990056,0.2241589344961651,0.22841573332694834,0.2284157333269483,0.001344722236421769,0.9991540553516663,0.008425910349794324,0.009374797721103586,0.00042564718877116355,3.1391487319251746e-08,1.2556594927700698e-08,0.012492823952303993,0.04712616445734189,0.07662455307654047,0.030415065268946585,0.6685254935298127,0.026598232182029707,0.02631661079311971,0.9716369122454112,0.9322105263157895,0.9999354797083683,0.9648860664923422,0.9678752697322432,0.9646975909789851,0.38971586623082727,0.4180286648227307,0.0,39770,1.0,90.0
low,clf,ent05,entropy d2=0.5,9,10000,0.005589597869938196,0.00015693721285432274,0.00569376228906157,0.975528840380109,0.002850594672980229,0.22484002913183,0.22841573332694834,0.2284157333269483,-0.0008367009981603852,0.9993089859876017,0.01033636256059974,0.009374797721103586,0.00013366493462408548,2.062354400397526e-35,4.919686781868935e-19,0.005589597869938204,0.017918061585296182,0.047416450204524375,0.030415065268946585,0.6685254935298127,0.01765673835443627,0.016944811740847877,0.9811918531556449,0.954464230698133,0.9994193173753145,0.9764246091780132,0.9777040722314354,0.9777546845062189,0.38971586623082727,0.4080714106110133,0.0,39770,1.0,90.0
low,clf,ent10,entropy d2=1.0,9,10000,0.006920104891878982,0.00016606754207483372,0.0070242693110023555,0.9697039044067348,0.004487602124257387,0.2252792665798587,0.22841573332694834,0.2284157333269483,-0.0007039639794680433,0.9993653295814081,0.011573672581375332,0.009374797721103586,0.00018485790611762288,4.660412295177436e-37,8.623094468737124e-37,0.006920104891878968,0.022646770922785647,0.05214515954201803,0.030415065268946585,0.6685254935298127,0.021266839363636807,0.02116967713070308,0.9788031179280865,0.9484151266674825,1.0,0.9735247008573851,0.9693557712790237,0.9769976965253219,0.38971586623082727,0.41091274830274077,0.0,39770,1.0,90.0
low,fm,dir00,non-adaptive (d2=0),9,10000,0.0012380686849737827,4.797281040984609e-05,0.0014822633537904682,0.9945797574145138,0.00018256724254098918,0.22736023188451593,0.22841573332694834,0.2284157333269483,4.0397372946809895e-16,0.9990982786257898,0.014003024969331233,0.009374797721103586,3.635042078832145e-05,2.354361548943881e-06,1.7202535050949959e-06,0.001238068684973781,0.008416757979298096,0.037915146598722825,0.030415065268946585,0.6685254935298127,0.009939066297879474,-0.0033247562372530955,0.9944933366859442,0.9935400516795866,0.9923220852958256,0.9929306949869267,0.9934857500782962,0.9887753056724794,0.38971586623082727,0.3892381191853156,0.16500276590394772,39770,100.0,90.0
low,fm,ent05,entropy d2=0.5,9,10000,0.000314727147903304,1.6876770279573218e-05,0.000541871657089996,0.9986221301688846,-1.290495562784267e-05,0.22808810122341744,0.22841573332694834,0.2284157333269483,2.529443668408682e-16,0.9992686139154284,0.012298009006331864,0.009374797721103586,1.1159217483486428e-05,6.906127210235382e-07,6.780561260958375e-07,0.00031472714790330397,0.004728976878911322,0.03422736549827715,0.030415065268946585,0.6685254935298127,0.006326236973709944,-0.001926214622970973,0.9966809152627609,0.9967030835865279,0.9947738563778308,0.9957375355205372,0.9960174354793189,0.9945420660276889,0.38971586623082727,0.38896152879054563,0.1693298969072165,39770,100.0,90.0
low,fm,ent10,entropy d2=1.0,9,10000,0.00029876922824913097,2.0448841661722147e-05,0.0005126025262543576,0.9986919936560522,-5.9697132652598034e-05,0.22805726696604697,0.22841573332694834,0.2284157333269483,3.71881345162528e-16,0.9992629240243794,0.010966887888185348,0.009374797721103586,8.821887353334748e-06,6.592212337042861e-07,5.524901768188307e-07,0.0002987692282491306,0.003940578248648152,0.03343896686793607,0.030415065268946585,0.6685254935298127,0.005452798033134971,-0.0012913139440672765,0.9963540357053055,0.9965717981888745,0.994064133169882,0.9953163861881844,0.994755189849565,0.9956134520802872,0.38971586623082727,0.3887352275584611,0.16683329142569775,39770,100.0,90.0
low,fm,tb05,entropy+modesep d2=0.5,9,10000,0.0004054132393940222,2.102960938407358e-05,0.0006356397122963211,0.998225108080389,4.3592558943516836e-05,0.22805391264649807,0.22841573332694834,0.2284157333269483,2.4448758989548125e-16,0.9992437005012622,0.012606205377892582,0.009374797721103586,1.494002279529872e-05,1.0987020561738105e-06,8.036220753728444e-07,0.00040541323939402297,0.005330787238609159,0.034829175857995685,0.030415065268946585,0.6685254935298127,0.006853155644958513,-0.0032805017740899067,0.9965049031933618,0.9974093264248705,0.99361249112846,0.9955072885355054,0.9955421611100647,0.9938061938061938,0.38971586623082727,0.3882323359316067,0.17113552929343728,39770,100.0,90.0
low,fm,tb10,entropy+modesep d2=1.0,9,10000,0.0004536354666959578,2.4915545132903642e-05,0.0006758978633314398,0.9980139920307213,-3.9196335582143165e-05,0.2279229015246706,0.22841573332694834,0.2284157333269483,3.57895137137465e-16,0.9992161969485283,0.011809797751210879,0.009374797721103586,1.3604462185485027e-05,1.3184424674085726e-06,1.6700271253841912e-06,0.0004536354666959575,0.004837025057177264,0.034335413676514624,0.030415065268946585,0.6685254935298127,0.006553991003827566,-0.0002601346632023032,0.9961528790545637,0.9939487575640531,0.9961933027937286,0.9950697644443013,0.9934550465036169,0.9946509850825609,0.38971586623082727,0.3905959265778225,0.18290797083228563,39770,100.0,90.0
med,clf,dir00,non-adaptive (d2=0),10,11000,0.013789761058421194,0.0002686193371968277,0.013970685972637537,0.9373040865653479,0.011590714765610717,0.21719257808823894,0.21994672862999676,0.21994672862999678,-0.0005551042489473357,0.9974988357159645,0.015496651004182595,0.01809249142163399,0.0006728647598469985,3.0478280415418964e-06,1.8083779713148586e-06,0.01378976105842122,0.046503166268193265,0.10351664911616164,0.057851543368127686,0.6690311268418458,0.03710275622287634,0.036215173183600846,0.959768669851647,0.9065966141272621,1.0,0.9510104102878139,0.9572180011689072,0.9480716475714055,0.3904953482524516,0.43072667840080464,0.0,39770,1.0,100.0
med,clf,ent05,entropy d2=0.5,10,11000,0.01965241726000198,0.0003466023973699995,0.01983334217421832,0.910649195000931,0.016835990848165627,0.21695437373531534,0.21994672862999676,0.21994672862999678,-0.00017592848284505094,0.9974895041638793,0.01736668177034086,0.01809249142163399,0.00110122243827435,1.8374743416801803e-36,1.0159426805139606e-08,0.019652417260001956,0.06398546748298951,0.12099895033101339,0.057851543368127686,0.6690311268418458,0.04669254016953872,0.04641790081309663,0.9497611264772442,0.8860109539023278,1.0,0.9395607719765261,0.9441018844003919,0.9375718115664496,0.3904953482524516,0.44073422177520744,0.0,39770,1.0,100.0
