system,method,trajs,orig_lambda,orig_delta,orig_fp,orig_tp,orig_f1,orig_sep_pct,opt_lambda,opt_delta,opt_fp,opt_tp,opt_f1,opt_sep_pct,opt_precision,opt_recall,cons_f1,cons_fp,cons_tp,fp_zero_achievable
pendulum,fm_ranked,500,0.759091,0.050000,0,16763,0.972699,0.118433,0.805276,0.005000,0,16763,0.948724,0.081403,1.000000,0.902450,0.941662,0,16763,True
pendulum,fm_direct,500,0.859091,0.050000,0,17467,0.974096,0.059463,0.909296,0.005000,0,17467,0.966336,0.042977,1.000000,0.934864,0.962184,0,17467,True
pendulum,fm_nonadapt,500,0.604545,0.195455,149,16882,0.993234,0.080070,0.927387,0.024596,21,15929,0.924358,0.007689,0.998683,0.860329,0.915723,21,15929,False
pendulum,clf_adaptive,500,0.395455,0.256061,33,18718,0.998640,0.003506,0.588191,0.411616,1,15077,0.999205,0.078511,0.999934,0.998477,0.889026,1,15077,False
pendulum,clf_nonadapt,500,0.868182,0.066162,529,18396,0.978068,0.005372,0.823367,0.176465,231,17293,0.987072,0.037482,0.986818,0.987325,0.951105,231,17293,False
pendulum,partx,500,0.500000,0.100000,59,18556,0.997661,0.011688,0.845980,0.034394,0,17488,0.972555,0.007566,1.000000,0.946576,0.962784,0,17488,True
cartpole,fm_ranked,1000,0.604545,0.098485,142,19942,0.992386,0.016426,0.927387,0.024596,20,18464,0.977009,0.014335,0.998918,0.956040,0.941368,20,18464,False
cartpole,fm_direct,1000,0.759091,0.050000,84,19782,0.989644,0.009866,0.927387,0.024596,25,18738,0.979457,0.012400,0.998668,0.960972,0.948591,25,18738,False
cartpole,fm_nonadapt,1000,0.804545,0.098485,125,14538,0.983860,0.075866,0.927387,0.024596,63,12435,0.960046,0.076248,0.994959,0.927501,0.748150,63,12435,False
cartpole,clf_adaptive,1000,0.259091,0.256061,201,19786,0.991879,0.016609,0.764573,0.235253,11,17593,0.972876,0.020505,0.999375,0.947746,0.917545,11,17593,False
cartpole,clf_nonadapt,1000,0.168182,0.167172,159,15933,0.983731,0.081533,0.855025,0.142172,0,6128,0.628868,0.064508,1.000000,0.458648,0.456088,0,6128,True
cartpole,partx,1000,0.500000,0.100000,755,18896,0.959846,0.015940,0.705779,0.294040,31,9543,0.955638,0.102601,0.996762,0.917773,0.629527,31,9543,False
quad2d,fm_ranked,12000,0.459091,0.344949,922,23280,0.952751,0.091538,0.950000,0.044192,83,4147,0.321523,0.037056,0.980378,0.192293,0.194398,83,4147,False
quad2d,fm_direct,7608,0.504545,0.397475,436,18375,0.963404,0.117268,0.950000,0.044192,51,4842,0.359412,0.035920,0.989577,0.219582,0.223504,51,4842,False
quad2d,fm_nonadapt,12000,0.459091,0.344949,726,16149,0.909470,0.125491,0.950000,0.044192,40,2393,0.171247,0.029079,0.983559,0.093788,0.117109,40,2393,False
quad2d,clf_adaptive,12000,0.386364,0.377273,54,4922,0.865331,0.107416,0.552010,0.445909,0,78,0.014141,0.063518,1.000000,0.007121,0.004051,0,78,True
quad2d,clf_nonadapt,12000,0.377273,0.365152,335,7745,0.909465,0.115305,0.646985,0.338131,0,1239,0.123795,0.045574,1.000000,0.065981,0.062459,0,1239,True
quad2d,partx,4612,0.500000,0.100000,2002,15349,0.630258,0.021703,0.628894,0.347929,0,1308,0.188609,0.072171,1.000000,0.104124,0.065823,0,1308,True
quad3d,fm_ranked,25000,0.504545,0.195455,2357,139189,0.968164,0.286269,0.950000,0.044192,48,89670,0.744010,0.079759,0.999465,0.592558,0.583762,48,89670,False
quad3d,fm_direct,25000,0.604545,0.195455,2199,136875,0.964085,0.257980,0.950000,0.044192,72,96158,0.778891,0.083063,0.999252,0.638160,0.613006,72,96158,False
quad3d,fm_nonadapt,24000,0.559091,0.142929,3578,138869,0.962787,0.290413,0.950000,0.044192,45,86187,0.762140,0.099593,0.999478,0.615890,0.567528,45,86187,False
quad3d,clf_adaptive,24000,0.377273,0.365152,2893,124949,0.952911,0.279367,0.529397,0.470404,9,43078,0.743853,0.223231,0.999791,0.592243,0.330628,9,43078,False
quad3d,clf_nonadapt,24000,0.440909,0.417677,2326,117138,0.936920,0.279328,0.529397,0.470404,2,6392,0.331329,0.304881,0.999687,0.198571,0.057099,2,6392,False
quad3d,partx,24000,0.500000,0.100000,14350,124435,0.766322,0.067126,0.529397,0.470404,0,2282,0.454990,0.562829,1.000000,0.294490,0.020766,0,2282,True
