cluster,count_label_0,count_label_1,cluster_size,failure_rate,success_rate
0,15,17,32,0.53125,0.46875
1,17,2,19,0.10526315789473684,0.8947368421052632
2,47,18,65,0.27692307692307694,0.7230769230769231
3,25,20,45,0.4444444444444444,0.5555555555555556
4,13,7,20,0.35,0.65
5,27,11,38,0.2894736842105263,0.7105263157894737
6,26,10,36,0.2777777777777778,0.7222222222222222
7,29,42,71,0.5915492957746479,0.4084507042253521
8,19,17,36,0.4722222222222222,0.5277777777777778
9,17,17,34,0.5,0.5
10,15,8,23,0.34782608695652173,0.6521739130434783
11,18,28,46,0.6086956521739131,0.391304347826087
12,27,5,32,0.15625,0.84375
13,20,5,25,0.2,0.8
14,16,6,22,0.2727272727272727,0.7272727272727273
15,34,11,45,0.24444444444444444,0.7555555555555555
16,29,13,42,0.30952380952380953,0.6904761904761905
17,15,16,31,0.5161290322580645,0.4838709677419355
18,17,5,22,0.22727272727272727,0.7727272727272727
19,20,11,31,0.3548387096774194,0.6451612903225806
20,16,17,33,0.5151515151515151,0.48484848484848486
21,51,43,94,0.4574468085106383,0.5425531914893617
22,25,15,40,0.375,0.625
23,13,10,23,0.43478260869565216,0.5652173913043478
24,17,8,25,0.32,0.68
25,13,10,23,0.43478260869565216,0.5652173913043478
26,13,0,13,0.0,1.0
27,33,30,63,0.47619047619047616,0.5238095238095238
28,15,16,31,0.5161290322580645,0.4838709677419355
29,44,18,62,0.2903225806451613,0.7096774193548387
30,51,35,86,0.4069767441860465,0.5930232558139535
31,9,8,17,0.47058823529411764,0.5294117647058824
32,8,2,10,0.2,0.8
33,19,3,22,0.13636363636363635,0.8636363636363636
34,13,7,20,0.35,0.65
35,22,16,38,0.42105263157894735,0.5789473684210527
36,28,22,50,0.44,0.56
37,21,13,34,0.38235294117647056,0.6176470588235294
38,24,8,32,0.25,0.75
39,7,14,21,0.6666666666666666,0.3333333333333333
40,36,31,67,0.4626865671641791,0.5373134328358209
41,14,14,28,0.5,0.5
42,15,3,18,0.16666666666666666,0.8333333333333334
43,18,13,31,0.41935483870967744,0.5806451612903226
44,14,11,25,0.44,0.56
45,5,5,10,0.5,0.5
46,28,7,35,0.2,0.8
47,22,11,33,0.3333333333333333,0.6666666666666666
48,14,19,33,0.5757575757575758,0.42424242424242425
49,9,5,14,0.35714285714285715,0.6428571428571429
50,10,15,25,0.6,0.4
51,39,49,88,0.5568181818181818,0.4431818181818182
52,23,8,31,0.25806451612903225,0.7419354838709677
53,14,14,28,0.5,0.5
54,21,8,29,0.27586206896551724,0.7241379310344828
55,12,11,23,0.4782608695652174,0.5217391304347826
